antecedent,consequent,support,confidence,lift
['38'],['36'],0.49,0.64,1.02
['36'],['38'],0.49,0.77,1.02
['38'],['11'],0.41,0.54,1.03
['11'],['38'],0.41,0.78,1.03
['36'],['11'],0.34,0.54,1.04
['11'],['36'],0.34,0.65,1.04
['38'],"['11', '36']",0.27,0.36,1.04
['36'],"['11', '38']",0.27,0.43,1.05
['11'],"['38', '36']",0.27,0.52,1.06
"['38', '36']",['11'],0.27,0.56,1.06
"['11', '38']",['36'],0.27,0.66,1.05
"['11', '36']",['38'],0.27,0.79,1.04
['48'],['11'],0.29,0.55,1.05
['11'],['48'],0.29,0.56,1.05
['38'],"['48', '11']",0.23,0.3,1.04
['48'],"['11', '38']",0.23,0.43,1.06
['11'],"['48', '38']",0.23,0.44,1.06
"['48', '38']",['11'],0.23,0.55,1.06
"['11', '38']",['48'],0.23,0.56,1.06
"['48', '11']",['38'],0.23,0.79,1.04
['36'],"['48', '11']",0.19,0.31,1.06
['48'],"['11', '36']",0.19,0.36,1.06
['11'],"['48', '36']",0.19,0.37,1.1
"['48', '36']",['11'],0.19,0.57,1.1
"['11', '36']",['48'],0.19,0.56,1.06
"['48', '11']",['36'],0.19,0.66,1.06
['38'],"['48', '11', '36']",0.15,0.2,1.05
['36'],"['48', '11', '38']",0.15,0.24,1.07
['48'],"['11', '38', '36']",0.15,0.29,1.07
['11'],"['48', '38', '36']",0.15,0.29,1.1
"['38', '36']","['48', '11']",0.15,0.32,1.09
"['48', '38']","['11', '36']",0.15,0.37,1.08
"['11', '38']","['48', '36']",0.15,0.38,1.12
"['48', '36']","['11', '38']",0.15,0.46,1.12
"['11', '36']","['48', '38']",0.15,0.45,1.08
"['48', '11']","['38', '36']",0.15,0.53,1.09
"['48', '38', '36']",['11'],0.15,0.57,1.1
"['11', '38', '36']",['48'],0.15,0.57,1.07
"['48', '11', '38']",['36'],0.15,0.67,1.07
"['48', '11', '36']",['38'],0.15,0.8,1.05
['38'],['28'],0.38,0.5,1.03
['28'],['38'],0.38,0.78,1.03
['36'],['28'],0.32,0.51,1.04
['28'],['36'],0.32,0.65,1.04
['38'],"['36', '28']",0.25,0.33,1.03
['36'],"['38', '28']",0.25,0.4,1.05
['28'],"['38', '36']",0.25,0.51,1.05
"['38', '36']",['28'],0.25,0.52,1.05
"['38', '28']",['36'],0.25,0.66,1.05
"['36', '28']",['38'],0.25,0.78,1.03
['11'],['28'],0.26,0.5,1.03
['28'],['11'],0.26,0.54,1.03
['38'],"['11', '28']",0.21,0.27,1.05
['11'],"['38', '28']",0.21,0.4,1.05
['28'],"['11', '38']",0.21,0.42,1.04
"['11', '38']",['28'],0.21,0.51,1.04
"['38', '28']",['11'],0.21,0.55,1.05
"['11', '28']",['38'],0.21,0.79,1.05
['36'],"['11', '28']",0.17,0.28,1.06
['11'],"['36', '28']",0.17,0.33,1.04
['28'],"['11', '36']",0.17,0.36,1.04
"['11', '36']",['28'],0.17,0.51,1.04
"['36', '28']",['11'],0.17,0.54,1.04
"['11', '28']",['36'],0.17,0.67,1.06
['38'],"['11', '36', '28']",0.14,0.18,1.04
['36'],"['11', '38', '28']",0.14,0.22,1.06
['11'],"['38', '36', '28']",0.14,0.26,1.06
['28'],"['11', '38', '36']",0.14,0.28,1.05
"['38', '36']","['11', '28']",0.14,0.28,1.08
"['11', '38']","['36', '28']",0.14,0.34,1.06
"['38', '28']","['11', '36']",0.14,0.36,1.06
"['11', '36']","['38', '28']",0.14,0.4,1.06
"['36', '28']","['11', '38']",0.14,0.43,1.06
"['11', '28']","['38', '36']",0.14,0.53,1.08
"['11', '38', '36']",['28'],0.14,0.51,1.05
"['38', '36', '28']",['11'],0.14,0.55,1.06
"['11', '38', '28']",['36'],0.14,0.66,1.06
"['11', '36', '28']",['38'],0.14,0.79,1.04
['48'],"['11', '28']",0.15,0.28,1.09
['11'],"['48', '28']",0.15,0.29,1.07
['28'],"['48', '11']",0.15,0.31,1.07
"['48', '11']",['28'],0.15,0.52,1.07
"['48', '28']",['11'],0.15,0.56,1.07
"['11', '28']",['48'],0.15,0.58,1.09
['38'],"['48', '11', '28']",0.12,0.16,1.07
['48'],"['11', '38', '28']",0.12,0.23,1.11
['11'],"['48', '38', '28']",0.12,0.23,1.07
['28'],"['48', '11', '38']",0.12,0.25,1.09
"['48', '38']","['11', '28']",0.12,0.29,1.13
"['11', '38']","['48', '28']",0.12,0.3,1.11
"['38', '28']","['48', '11']",0.12,0.32,1.11
"['48', '11']","['38', '28']",0.12,0.42,1.11
"['48', '28']","['11', '38']",0.12,0.45,1.11
"['11', '28']","['48', '38']",0.12,0.47,1.13
"['48', '11', '38']",['28'],0.12,0.53,1.09
"['48', '38', '28']",['11'],0.12,0.56,1.07
"['11', '38', '28']",['48'],0.12,0.59,1.11
"['48', '11', '28']",['38'],0.12,0.81,1.07
['36'],"['48', '11', '28']",0.1,0.16,1.09
['48'],"['11', '36', '28']",0.1,0.2,1.12
['11'],"['48', '36', '28']",0.1,0.2,1.12
['28'],"['48', '11', '36']",0.1,0.21,1.1
"['48', '36']","['11', '28']",0.1,0.31,1.18
"['11', '36']","['48', '28']",0.1,0.3,1.12
"['36', '28']","['48', '11']",0.1,0.32,1.12
"['48', '11']","['36', '28']",0.1,0.36,1.12
"['48', '28']","['11', '36']",0.1,0.38,1.12
"['11', '28']","['48', '36']",0.1,0.4,1.18
"['48', '11', '36']",['28'],0.1,0.54,1.1
"['48', '36', '28']",['11'],0.1,0.58,1.12
"['11', '36', '28']",['48'],0.1,0.6,1.12
"['48', '11', '28']",['36'],0.1,0.69,1.09
['38'],"['48', '11', '36', '28']",0.08,0.11,1.07
['36'],"['48', '11', '38', '28']",0.08,0.13,1.1
['48'],"['11', '38', '36', '28']",0.08,0.16,1.15
['11'],"['48', '38', '36', '28']",0.08,0.16,1.1
['28'],"['48', '11', '38', '36']",0.08,0.17,1.12
"['38', '36']","['48', '11', '28']",0.08,0.17,1.15
"['48', '38']","['11', '36', '28']",0.08,0.2,1.17
"['11', '38']","['48', '36', '28']",0.08,0.21,1.17
"['38', '28']","['48', '11', '36']",0.08,0.22,1.15
"['48', '36']","['11', '38', '28']",0.08,0.25,1.21
"['11', '36']","['48', '38', '28']",0.08,0.25,1.12
"['36', '28']","['48', '11', '38']",0.08,0.26,1.15
"['48', '11']","['38', '36', '28']",0.08,0.29,1.16
"['48', '28']","['11', '38', '36']",0.08,0.31,1.16
"['11', '28']","['48', '38', '36']",0.08,0.32,1.2
"['48', '38', '36']","['11', '28']",0.08,0.31,1.2
"['11', '38', '36']","['48', '28']",0.08,0.31,1.16
"['38', '36', '28']","['48', '11']",0.08,0.34,1.16
"['48', '11', '38']","['36', '28']",0.08,0.37,1.15
"['48', '38', '28']","['11', '36']",0.08,0.38,1.12
"['11', '38', '28']","['48', '36']",0.08,0.41,1.21
"['48', '11', '36']","['38', '28']",0.08,0.44,1.15
"['48', '36', '28']","['11', '38']",0.08,0.47,1.17
"['11', '36', '28']","['48', '38']",0.08,0.48,1.17
"['48', '11', '28']","['38', '36']",0.08,0.56,1.15
