antecedent,consequent,support,confidence,lift
['38'],['36'],0.53,0.68,1.03
['36'],['38'],0.53,0.8,1.03
['38'],['11'],0.44,0.57,1.02
['11'],['38'],0.44,0.8,1.02
['36'],['11'],0.39,0.59,1.06
['11'],['36'],0.39,0.7,1.06
['38'],"['11', '36']",0.32,0.41,1.05
['36'],"['11', '38']",0.32,0.48,1.09
['11'],"['36', '38']",0.32,0.58,1.08
"['36', '38']",['11'],0.32,0.6,1.08
"['11', '38']",['36'],0.32,0.72,1.09
"['11', '36']",['38'],0.32,0.82,1.05
['48'],['11'],0.33,0.58,1.04
['11'],['48'],0.33,0.59,1.04
['38'],"['11', '48']",0.27,0.35,1.06
['48'],"['11', '38']",0.27,0.48,1.07
['11'],"['48', '38']",0.27,0.49,1.06
"['48', '38']",['11'],0.27,0.59,1.06
"['11', '38']",['48'],0.27,0.61,1.07
"['11', '48']",['38'],0.27,0.83,1.06
['36'],"['11', '48']",0.24,0.36,1.09
['48'],"['11', '36']",0.24,0.42,1.07
['11'],"['48', '36']",0.24,0.43,1.09
"['48', '36']",['11'],0.24,0.61,1.09
"['11', '36']",['48'],0.24,0.61,1.07
"['11', '48']",['36'],0.24,0.72,1.09
['38'],"['11', '48', '36']",0.2,0.26,1.09
['36'],"['11', '48', '38']",0.2,0.3,1.12
['48'],"['11', '36', '38']",0.2,0.35,1.1
['11'],"['48', '36', '38']",0.2,0.36,1.13
"['36', '38']","['11', '48']",0.2,0.38,1.15
"['48', '38']","['11', '36']",0.2,0.44,1.13
"['11', '38']","['48', '36']",0.2,0.45,1.16
"['48', '36']","['11', '38']",0.2,0.52,1.16
"['11', '36']","['48', '38']",0.2,0.52,1.13
"['11', '48']","['36', '38']",0.2,0.61,1.15
"['48', '36', '38']",['11'],0.2,0.63,1.13
"['11', '36', '38']",['48'],0.2,0.63,1.1
"['11', '48', '38']",['36'],0.2,0.74,1.12
"['11', '48', '36']",['38'],0.2,0.85,1.09
['38'],['28'],0.43,0.55,1.02
['28'],['38'],0.43,0.79,1.02
['36'],['28'],0.37,0.56,1.04
['28'],['36'],0.37,0.69,1.04
['38'],"['28', '36']",0.3,0.39,1.04
['36'],"['28', '38']",0.3,0.45,1.06
['28'],"['36', '38']",0.3,0.56,1.05
"['36', '38']",['28'],0.3,0.57,1.05
"['28', '38']",['36'],0.3,0.71,1.06
"['28', '36']",['38'],0.3,0.81,1.04
['11'],['28'],0.31,0.56,1.03
['28'],['11'],0.31,0.57,1.03
['38'],"['11', '28']",0.25,0.32,1.04
['11'],"['28', '38']",0.25,0.45,1.05
['28'],"['11', '38']",0.25,0.47,1.05
"['11', '38']",['28'],0.25,0.56,1.05
"['28', '38']",['11'],0.25,0.59,1.05
"['11', '28']",['38'],0.25,0.81,1.04
['36'],"['11', '28']",0.22,0.34,1.1
['11'],"['28', '36']",0.22,0.4,1.09
['28'],"['11', '36']",0.22,0.42,1.07
"['11', '36']",['28'],0.22,0.58,1.07
"['28', '36']",['11'],0.22,0.61,1.09
"['11', '28']",['36'],0.22,0.73,1.1
['48'],['28'],0.32,0.55,1.03
['28'],['48'],0.32,0.59,1.03
['38'],"['28', '48']",0.26,0.33,1.05
['48'],"['28', '38']",0.26,0.46,1.07
['28'],"['48', '38']",0.26,0.48,1.05
"['48', '38']",['28'],0.26,0.57,1.05
"['28', '38']",['48'],0.26,0.61,1.07
"['28', '48']",['38'],0.26,0.82,1.05
['36'],"['28', '48']",0.22,0.33,1.06
['48'],"['28', '36']",0.22,0.39,1.05
['28'],"['48', '36']",0.22,0.41,1.06
"['48', '36']",['28'],0.22,0.57,1.06
"['28', '36']",['48'],0.22,0.6,1.05
"['28', '48']",['36'],0.22,0.7,1.06
['38'],['3'],0.41,0.53,1.02
['3'],['38'],0.41,0.8,1.02
['36'],['3'],0.36,0.54,1.05
['3'],['36'],0.36,0.69,1.05
['38'],"['3', '36']",0.29,0.37,1.04
['36'],"['3', '38']",0.29,0.44,1.07
['3'],"['36', '38']",0.29,0.56,1.06
"['36', '38']",['3'],0.29,0.55,1.06
"['3', '38']",['36'],0.29,0.71,1.07
"['3', '36']",['38'],0.29,0.82,1.04
['11'],['3'],0.3,0.54,1.05
['3'],['11'],0.3,0.58,1.05
['38'],"['3', '11']",0.25,0.32,1.05
['11'],"['3', '38']",0.25,0.44,1.08
['3'],"['11', '38']",0.25,0.48,1.08
"['11', '38']",['3'],0.25,0.55,1.08
"['3', '38']",['11'],0.25,0.6,1.08
"['3', '11']",['38'],0.25,0.82,1.05
['36'],"['3', '11']",0.22,0.33,1.1
['11'],"['3', '36']",0.22,0.39,1.1
['3'],"['11', '36']",0.22,0.42,1.09
"['11', '36']",['3'],0.22,0.56,1.09
"['3', '36']",['11'],0.22,0.61,1.1
"['3', '11']",['36'],0.22,0.73,1.1
['28'],['3'],0.28,0.53,1.02
['3'],['28'],0.28,0.55,1.02
['38'],"['3', '28']",0.23,0.29,1.04
['28'],"['3', '38']",0.23,0.43,1.04
['3'],"['28', '38']",0.23,0.44,1.04
"['28', '38']",['3'],0.23,0.54,1.04
"['3', '38']",['28'],0.23,0.56,1.04
"['3', '28']",['38'],0.23,0.81,1.04
['36'],"['3', '28']",0.2,0.31,1.08
['28'],"['3', '36']",0.2,0.38,1.06
['3'],"['28', '36']",0.2,0.39,1.07
"['28', '36']",['3'],0.2,0.55,1.07
"['3', '36']",['28'],0.2,0.57,1.06
"['3', '28']",['36'],0.2,0.72,1.08
